entity,l2_delta
Thermoses,73.116844
Tettigoniidae,73.070366
Erethizontidae,73.06482
Antivirotic,73.05802
Tyleberry,73.00959
Proctodeum,72.99659
Misenjoy,72.98911
Uprest,72.95675
Burler,72.91488
Pyloroscirrhus,72.913536
Tetrasporic,72.91276
Ordain,72.8918
Gunfires,72.87601
Haoles,72.86939
Rhyton,72.83613
Darren,72.81371
Spileworm,72.786674
Honourless,72.78085
Wangtooth,72.77316
Torula,72.769035
Spinets,72.76683
Ichthyotic,72.75941
Hellenisticism,72.75659
Prevaricator,72.70859
Permeates,72.69894
Engrosses,72.69659
Squamipinnate,72.67761
Nonspill,72.668846
Casper,72.658554
Stronghand,72.64187
Automobilist,72.6199
Waterbrose,72.61962
Forelocks,72.60005
Boltonia,72.59839
Rephael,72.596954
Dahabiahs,72.539474
Wakeless,72.531624
Cladophorales,72.522514
Emphases,72.51835
Chopstick,72.482445
Consignatary,72.480606
Chavantean,72.447266
Triverbial,72.43372
Checkrows,72.4232
Hexamethonium,72.41446
Predriller,72.40912
Apoquinine,72.36402
Latebricole,72.356674
Drepaniform,72.35051
Puristical,72.35036
Studerite,72.337296
Cogman,72.33223
Prefixion,72.31432
Amenability,72.28123
Chiavetta,72.27161
Polymorphous,72.24784
Overprominent,72.21133
Taluche,72.17966
Kristen,72.17658
Preoppressor,72.17481
Dislocator,72.15815
Unidigitate,72.15755
Uninterruptive,72.1433
Arianizer,72.11586
Fuseboard,72.07418
Brassies,72.05396
Enwood,72.05268
Maizenic,72.04155
Dovens,72.02285
Excambion,72.00757
Unegoist,71.99181
Intrado,71.947395
Nonmalarial,71.94462
Sherardize,71.93336
Cookey,71.91786
Bunglesome,71.9088
Azophenylene,71.89655
Amphodarch,71.86942
Lobeless,71.868706
Quattrino,71.85271
Overwild,71.84266
Chitarrone,71.82862
Vaccinias,71.82681
Wannigan,71.78228
Cowtail,71.77858
Quixotry,71.77557
Premies,71.74643
Esoterist,71.74339
Kendir,71.733795
Panties,71.730354
Ajowan,71.69001
Tallnesses,71.67108
Overgrows,71.67006
Desidious,71.66146
Doughbellies,71.62461
Phlegmless,71.6229
Diaphoresis,71.62005
Thunderers,71.61646
Hulverhead,71.60025
Aubrieta,71.57516
Uromere,71.5539
Miscredit,71.47496
Intertissue,71.46673
Anteluminary,71.446526
Ravenry,71.35799
Cosmism,71.35275
Bilharzial,71.33925
Aeromarine,71.31607
Peckhamite,71.313614
Sintsink,71.30286
Nonbachelor,71.28656
Enwisen,71.26445
Plotties,71.23944
Nonlicit,71.218636
Overbrutality,71.190346
Fricti,71.165955
Depasture,71.151985
Skatikas,71.13375
Maledict,71.129105
Sphacelate,71.098335
Coruscate,71.08558
Remagnify,71.08227
Homewort,71.07834
Unthinkables,71.072044
Evident,71.06404
Epimyocardium,71.04982
Haywire,71.01566
Boxinesses,70.98849
Towheads,70.948524
Traitorwise,70.925415
Rankish,70.9164
Pylethrombosis,70.902336
Hemispasm,70.90134
Trapezium,70.89676
Bumkins,70.894
Arthroempyema,70.86594
Cisplatine,70.81552
Quipster,70.81146
Zinckenite,70.80694
Stonegale,70.806465
Enhearse,70.76101
Shittim,70.74133
Theaterlike,70.697975
Pupilability,70.68509
Phalangerinae,70.65197
Metricates,70.59189
Graunt,70.57822
Fidejussionary,70.56572
Furnacemen,70.53577
Stereotype,70.52883
Emeril,70.52425
Eximidus,70.50613
Fugacious,70.50573
Aspace,70.496284
Dobies,70.48411
Penduline,70.47734
Nakeder,70.4744
Reassume,70.4424
Aletocyte,70.43523
Retwists,70.40667
Warniss,70.402916
Reenter,70.36362
Dhunchee,70.36077
Cantatory,70.35782
Viviparism,70.352585
Contraire,70.3446
Platydactylous,70.33357
Cutwal,70.30764
Ostreidae,70.27931
Ericineous,70.254364
Kinsman,70.21721
Sudoriparous,70.19967
Unstricken,70.19356
Mortress,70.183426
Japanner,70.15889
Pyroline,70.134796
Trehala,70.07408
Amenta,70.07387
Semibiologic,70.05966
Mucolytic,70.0397
Secularize,70.03931
Oilfishes,70.03665
Epibole,70.01736
Foldskirt,70.013176
Septemberist,70.00737
Walkingstick,70.00419
Hooven,69.957726
Ventrine,69.93084
Epitrichium,69.92842
Pargana,69.92725
Swertia,69.88547
Fakeer,69.876526
Stanjen,69.82872
Tesack,69.81139
Fleuronnee,69.810074
Beqwete,69.79222
Jucuna,69.76103
Breechesflower,69.75332
Shuddersome,69.749825
Nanosomus,69.73939
Fenner,69.73003
Prespinous,69.72436
Brachyurous,69.70242
Unfalsity,69.6891
Regalty,69.64798
Timbreller,69.6433
Hesperinon,69.61335
Parabiotic,69.60841
Laminarite,69.58609
Twiglet,69.583336
Matajuelo,69.55145
Anabiotic,69.548874
Overspun,69.52679
Salvator,69.5227
Hemoplastic,69.503426
Epiperipheral,69.48879
Manipulability,69.45077
Shoggie,69.41548
Beamman,69.37007
Cymbocephalic,69.36143
Chingma,69.34906
Goeduck,69.341324
Lentoid,69.33567
Uncolloquial,69.333466
Modifies,69.331436
Zymometer,69.32912
Muckamuck,69.32381
Dermatotherapy,69.29435
Trajectile,69.282555
Scutch,69.27839
Panurgic,69.27588
Metronomical,69.27251
Platinotype,69.268394
Hutukhtu,69.23993
Awrong,69.232735
Hypertensinase,69.22338
Potamogalidae,69.21509
Bannerfish,69.21418
Nematognathous,69.16917
Noncarbonate,69.163536
Priestianity,69.14845
Overjust,69.14172
Sheriffhood,69.11432
Ophian,69.113075
Ceteosaur,69.068085
Corvinas,69.053925
Rencontre,69.04366
Mustachio,69.02937
Quatrocento,69.00076
Ectoparasitica,68.97963
Homicidious,68.95861
Porterage,68.91599
Toolstock,68.91496
Junefish,68.88503
Dignitarial,68.881386
Piculs,68.87731
Newcomer,68.853035
Reforbid,68.83818
Neurhypnotist,68.834404
Nonsurrender,68.81049
Sanghs,68.8084
Septate,68.79665
Enswathe,68.792145
Supersafe,68.78651
Nondemand,68.782845
Seccotine,68.74062
Stealers,68.704475
Appreciators,68.68871
Ectozoa,68.67349
Physiatrics,68.66038
Benefactorship,68.636505
Hexacorallia,68.6107
Inheritrice,68.60723
Empiric,68.60303
Houvari,68.58832
Xenophoridae,68.57954
Replial,68.54526
Rantism,68.53876
Palmus,68.52588
Chitimacha,68.52312
Babeldom,68.50236
Redemptible,68.47494
Intermingledom,68.456245
Meringues,68.44381
Vocalistic,68.4385
Harrycane,68.43631
Simpletons,68.434296
Tippiest,68.4286
Indoctrinate,68.406395
Tribuna,68.376854
Wapper,68.3574
Dawson,68.34867
Wapitis,68.33713
Amentaceous,68.322014
Ganowanian,68.31564
Bowsie,68.281364
Skilfish,68.267784
Parapophysis,68.257
Ornithopoda,68.25316
Pycnanthemum,68.22939
Aviatrix,68.20292
Volost,68.158485
Polyglottonic,68.12094
Mercify,68.11866
Rallyings,68.10911
Childes,68.10732
Gelatinigerous,68.08019
Mosquitoproof,68.07077
Panegyrist,68.068665
Chuprassie,68.05916
Trainability,68.05474
Briarberry,68.049095
Submarinism,68.02974
Peridiniaceae,68.012375
Prolongs,68.003525
Gymnoconia,67.97634
Nontensile,67.95045
Uncompass,67.929016
Ectocarpus,67.92825
Quadrumvirate,67.90081
Trisyllabical,67.88813
Fictionize,67.881935
Trichinous,67.86212
Beautifier,67.85811
Maddock,67.85224
Freemartin,67.83174
Clubability,67.80203
Chiffre,67.720604
Gunter,67.71566
Alphosises,67.692
Collyria,67.681244
Lendee,67.66527
Iodoprotein,67.656075
Nonorthodox,67.64233
Mauler,67.64205
Sharkful,67.59482
Ziggurat,67.5779
Tholeiitic,67.57604
Hardfist,67.52092
Dibstones,67.508194
Intercentral,67.497215
Excarnate,67.49168
Netherlandic,67.48465
Gaultheria,67.47596
Euryalida,67.4509
Zibethone,67.42084
Diaporesis,67.41295
Joggler,67.382286
Peavine,67.3727
Sciolisms,67.36123
Toiler,67.34634
Inducteous,67.34364
Phragmidium,67.34081
Babool,67.314926
Mahjongg,67.30138
Thicky,67.29928
Houtou,67.27234
Xylidines,67.26531
Epicardial,67.26317
Ethmoid,67.22986
Hinderlins,67.22744
Inphase,67.206474
Aquarid,67.178085
Gemmate,67.161835
Juggins,67.16035
Backcasts,67.08775
Chugalugs,67.010124
Curran,66.97105
Hetaery,66.968185
Technics,66.96383
Bareges,66.8831
Shatan,66.87207
Kodaker,66.85709
Fistularioid,66.83907
Snapwood,66.833885
Denervate,66.81637
Literalist,66.81115
Myxolipoma,66.71867
Conatural,66.6878
Peronium,66.66736
Novelise,66.65297
Preclaimant,66.64258
Ringgit,66.6396
Totery,66.605316
Basaltes,66.59509
Pinecones,66.58581
Syllabe,66.573875
Counterparadox,66.56889
Roncos,66.544685
Ichthyomorphic,66.54466
Sphenopsid,66.54452
Peracid,66.53487
Postdiastolic,66.52865
Moderant,66.50174
Sciurus,66.48226
Basiphobia,66.42398
Sesbania,66.415665
Alkylates,66.40832
Philologastry,66.4013
Perfects,66.37723
Anthomedusan,66.37095
Overdebilitate,66.334435
Kukang,66.32183
Stammel,66.31112
Waterlandian,66.30761
Pranava,66.29719
Scoopfuls,66.28958
Uninuclear,66.2794
Hickish,66.27744
Enravish,66.27405
Aldamin,66.25915
Pollenite,66.240845
Saintdoms,66.209045
Tiglinic,66.18886
Factual,66.16751
Sulphamide,66.14925
Opiumism,66.147385
Tectosphere,66.14206
Acutorsion,66.14177
Myomorphic,66.141754
Coxankylometer,66.12342
Pentameran,66.115616
Clumsiest,66.112854
Pleuronect,66.09007
Undealt,66.06783
Undignify,66.03897
Stemple,66.03139
Cembalo,65.99429
Schooler,65.99029
Heterocaryosis,65.94995
Furfuramid,65.94633
Cotillon,65.916534
Atreptic,65.90239
Aurums,65.89302
Underkingdom,65.88505
Canopid,65.87843
Trestlework,65.861534
Procathedrals,65.85944
Diphenyls,65.850624
Stylelike,65.83347
Hereticate,65.82581
Surrenderer,65.82016
Caimitillo,65.80471
Squasher,65.793884
Distills,65.71224
Guesdist,65.68458
Vasospasm,65.675125
Nigritudinous,65.65123
Brideknot,65.65039
Churchwoman,65.62176
Frasier,65.58147
Hingers,65.57418
Nannander,65.5585
Sulfourea,65.52741
Mossiest,65.52301
Wasatch,65.502914
Membranous,65.49309
Ovoviviparity,65.48786
Introspector,65.48041
Interclash,65.477684
Tamulic,65.47552
Caimacam,65.446266
Cancellous,65.423874
Nonreversion,65.42387
Radicle,65.41923
Tracheole,65.4155
Ernest,65.39756
Postliterate,65.37883
Unneural,65.362236
Tetragon,65.34178
Preimpose,65.33566
Brunonism,65.33272
Muscarine,65.3289
Photodermatism,65.324524
Sermonish,65.32264
Subungulata,65.280876
Polymixiid,65.22459
Primogenial,65.21473
Parchmentize,65.2132
Kailyards,65.191734
Galvanist,65.180466
Sextans,65.1694
Libral,65.16576
Grifters,65.14861
Lichenicolous,65.14818
Timpanums,65.11109
Lenaeus,65.09629
Squawkiest,65.08583
Kindlier,65.06649
Trunnions,65.03639
Whippertail,65.030014
Mondego,65.02931
Spirulas,65.00365
Lamentory,65.00356
Fizzer,65.00142
Safflowers,65.00082
Oxtongue,64.98431
Undresses,64.983154
Lysine,64.942375
Gratias,64.92932
Ithomiidae,64.92092
Kippen,64.91813
Enclitic,64.915436
Nematogene,64.90028
Relubricate,64.8928
Unexonerative,64.87659
Stratojet,64.84092
Transmuscle,64.83465
Neutrophile,64.8282
Populator,64.80977
Otectomy,64.80378
Loomfixer,64.79997
Megatheriidae,64.7732
Mastabas,64.76871
Outpush,64.75848
Effuse,64.73834
Backboards,64.7303
Foreknower,64.72503
Thoughtsick,64.71657
Scoliotic,64.71105
Operette,64.70938
Recock,64.70274
Guajira,64.700714
Pileous,64.6975
Nonevocative,64.69403
Scurvies,64.67765
Asphodel,64.67762
Beakiest,64.65574
Shiraz,64.65457
Disprofess,64.64205
Breakerman,64.64128
Pseudoparesis,64.63778
Supercelestial,64.63337
Gladdens,64.63028
Caiman,64.61688
Thesmothetae,64.59964
Semiacetic,64.59943
Sickener,64.59448
Antidogmatism,64.59344
Cathedras,64.58358
Araucano,64.5733
Diggings,64.49473
Goyana,64.45947
Nondesignate,64.45156
Fathogram,64.40265
Bittiest,64.38444
Slivery,64.383545
Poloniums,64.323235
Hammam,64.28688
Soilages,64.28175
Carrocci,64.280205
Dadupanthi,64.27364
Sickroom,64.27215
Slavism,64.25645
Morticians,64.22936
Thrushel,64.22034
Curvifoliate,64.19946
Negritize,64.18498
Orguil,64.178055
Hopple,64.15572
Mispassion,64.12334
Clavichordists,64.10619
Edemata,64.10562
Unblindfold,64.104904
Nomina,64.09796
Archdevil,64.09008
Unsensible,64.07365
Numskull,64.07344
Hyenia,64.05177
Trademaster,64.03672
Expropriate,64.03216
Tyrannidae,64.01609
Anabaptistic,63.988163
Dyestuffs,63.976334
Rebite,63.971684
Fetishize,63.96819
Deviler,63.965862
Semiclose,63.960743
Tenenda,63.945023
Immask,63.937675
Haftaroth,63.90811
Homonomy,63.897434
Sibyls,63.86845
Ichthyal,63.865364
Carcinologist,63.838734
Puinavi,63.81354
Tangipahoa,63.80538
Smalls,63.79696
Acromial,63.78393
Haemacytometer,63.781605
Baidak,63.774265
Stimulations,63.751884
Bloodstones,63.732414
Genioglossus,63.727833
Leaderette,63.724823
Cobeliever,63.715813
Fieldleft,63.69709
Amaranthoid,63.69137
Coggie,63.691357
Puppyfish,63.656292
Lavehr,63.64279
Artifex,63.63724
Ovaliform,63.584263
Filthless,63.580196
Metropolises,63.57882
Dardani,63.56893
Spleetnew,63.568207
Gadger,63.56554
Prongbuck,63.553635
Galleyworm,63.550415
Postauditory,63.55031
Dorsispinal,63.512318
Augmentor,63.489162
Strass,63.481503
Wither,63.461967
Succulence,63.452656
Punatoo,63.43459
Perineoscrotal,63.428337
Synoecious,63.424187
Jujuisms,63.418804
Buhrstone,63.407257
Ultraservile,63.39481
Laurelwood,63.37957
Jarvies,63.372063
Amylolytic,63.33932
Warrand,63.311195
Ostensory,63.30979
Dinitrile,63.2983
Multiframe,63.276047
Catnip,63.209934
Woundworth,63.208096
Lowder,63.207096
Breird,63.203827
Enclog,63.187286
Perigenital,63.180943
Carcinogeneses,63.17186
Uninceptive,63.14378
Theatrograph,63.14147
Imbrue,63.139324
Truckle,63.135063
Inhumanism,63.115562
Fanons,63.112762
Substantives,63.100853
Perreia,63.045563
Pyropuncture,63.022324
Guidecraft,62.998657
Vomicine,62.99839
Weathergleam,62.96105
Shapiest,62.95857
Summarizations,62.945976
Alterations,62.93914
Sceloporus,62.92777
Botchiest,62.92589
Summerhouse,62.880257
Rohilla,62.867725
Kronur,62.867413
Inworn,62.851307
Glover,62.849064
Autarkist,62.834267
Rudimentary,62.824238
Nonembryonal,62.813004
Disorganic,62.76697
Untune,62.746975
Machaira,62.736324
Kniphofia,62.73394
Comourn,62.731934
Egracias,62.72241
Menshevist,62.71441
Ascomata,62.67917
Overvalue,62.668453
Outscold,62.6634
Bimetallism,62.649742
Acaricidal,62.63575
Polypi,62.61532
Terrorless,62.582832
Unalaska,62.57812
Deresinate,62.566208
Treacle,62.565273
Unspatial,62.554523
Bearcoot,62.55203
Chitarrino,62.543816
Pyrologies,62.543457
Emperil,62.53802
Sulfion,62.523354
Sageer,62.468967
Startler,62.45586
Lollup,62.455498
Archdeaconship,62.428665
Snecks,62.426144
Britannian,62.40018
Cherry,62.39753
Semiannular,62.394314
Spiraeas,62.363308
Miliary,62.346355
Lashkar,62.343742
Underclay,62.293396
Baculites,62.291374
Ricrac,62.28815
Naturelike,62.255554
Practicianism,62.247734
Wernerite,62.245564
Sketchers,62.194923
Chattelship,62.16609
Coalsack,62.158115
Negqtiator,62.141434
Suboxid,62.134758
Kibitz,62.12466
Albuminise,62.122166
Theatricalise,62.11618
Detailist,62.106712
Ultrasubtle,62.087227
Unitarist,62.074425
Mellific,62.07026
Lamasary,62.068394
Subregularity,62.067184
Landwrack,62.040485
Humiture,62.04046
Pothos,62.022854
Rubythroat,62.02216
Unvoluminous,62.02083
Slingshot,62.020477
Degummer,62.01926
Chalcidica,61.96622
Headreach,61.93036
Ruckus,61.915382
Airiferous,61.90975
Notholaena,61.893154
Slotbacks,61.892647
Kumbuk,61.88908
Silvex,61.86521
Eyedroppers,61.859272
Areola,61.830616
Tolualdehyde,61.828556
Cabook,61.817635
Petrogram,61.794098
Forkbeard,61.772892
Decream,61.763416
Arrowworm,61.76056
Dollhouse,61.74601
Justifier,61.74388
Fullery,61.728584
Compunct,61.72353
Semitextural,61.69638
Sideroxylon,61.69507
Tiglon,61.658993
Caccias,61.652027
Rhodospermeae,61.639145
Refrigerative,61.632954
Epistemologist,61.632717
Squamomastoid,61.62388
Friezes,61.585846
Bridelace,61.58154
Frowst,61.522873
Narine,61.52247
Caesural,61.51776
Calcitrant,61.509533
Potties,61.499313
Bumbles,61.472233
Psychobiology,61.471127
Dethroner,61.469837
Oxalacetic,61.422478
Vaginicoline,61.39479
Balances,61.327065
Lipopoda,61.304226
Delphinium,61.290413
Bengali,61.28751
Opsins,61.283653
Interscendent,61.277695
Gralloch,61.277153
Enlistees,61.26515
Allosaurus,61.264423
Cosmosophy,61.264053
Erosional,61.26331
Musicophysical,61.256096
Aunthoods,61.208668
Tyrannophobia,61.20077
Autograft,61.192566
Gothicism,61.191547
Paruria,61.19144
Conditione,61.18808
Pentadicity,61.181904
Endolaryngeal,61.172344
Epiceratodus,61.14879
Sulfureous,61.146343
Caroigne,61.13926
Pretechnical,61.111
Leaseback,61.107
Insectine,61.104942
Lacerate,61.093616
Collectivize,61.085457
Stallinger,61.077194
Narwhale,61.05289
Dissimulators,61.033123
Rebathe,61.02299
Berkeleyism,61.01553
Elfhood,60.98571
Avanturine,60.98471
Xanthinuria,60.94778
Domiciliary,60.932163
Oenophilist,60.919502
Prowarden,60.909744
Disavaunce,60.89555
Subtepidity,60.88481
Nordicism,60.84377
Dynamophone,60.820118
Fiberizer,60.81273
Naissant,60.789066
Heavenliest,60.787624
Customizer,60.786674
Scance,60.783524
Whipstaves,60.77673
Maclurin,60.776142
Waterproofer,60.678062
Alchemic,60.661064
Antipass,60.643764
Unmagisterial,60.64179
Polystomata,60.63883
Thoron,60.630157
Laccoliths,60.62588
Isolates,60.6188
Zoopathologies,60.61732
Benjamin,60.589184
Meager,60.589138
Normandy,60.56369
Redarken,60.558506
Tetrachlorides,60.52249
Tresis,60.51552
Kiters,60.510773
Chevrolet,60.479275
Onondaga,60.46889
Milliphot,60.438026
Blasties,60.41851
Prognathous,60.4006
Emirates,60.381714
Unabsolute,60.36963
Feteritas,60.366585
Heterocaryotic,60.30927
Balers,60.297558
Cassegrain,60.22949
Equiarticulate,60.227467
Iterances,60.22493
Jockstraps,60.201855
Plighters,60.136353
Dispersonalize,60.13565
Cunnings,60.124542
Vishnu,60.120956
Hesitance,60.11834
Explosive,60.11817
Microbe,60.093422
Salivous,60.06452
Lungworm,60.060677
Bawlers,60.008236
Yeshiva,60.001747
Hydrosilicate,59.991917
Superimposure,59.977383
Beatific,59.966263
Hostiles,59.964344
Nonspecial,59.961834
Flavory,59.94755
Adaxial,59.91376
Beshade,59.870895
Deitate,59.86747
Unillusory,59.86652
Quinanarii,59.83664
Gastrophilism,59.81038
Conormal,59.78131
Sanzen,59.748775
Smirchless,59.719364
Lifeleaf,59.715275
Sonatine,59.673103
Sauceplate,59.669308
Gentil,59.66448
Engleim,59.662716
Perpetualist,59.64484
Pocketcase,59.633278
Auditual,59.609417
Burion,59.608273
Stoolball,59.57957
Batteuse,59.578766
Semipros,59.57335
Decoat,59.566753
Viduate,59.565063
Periodicalism,59.561146
Laryngoscopies,59.559692
Procacious,59.55743
Forthgaze,59.517353
Nonambitious,59.504974
Bridgings,59.485985
Divertise,59.46869
Rorqual,59.436638
Vingtieme,59.429512
Lodgeful,59.428307
Haulages,59.423016
Discide,59.384716
Acetocinnamene,59.366524
Chokies,59.356655
Bilithon,59.354908
Pawnbroker,59.341686
Outback,59.33114
Odontocele,59.32802
Interminister,59.325134
Petrogenetic,59.321774
Blackfishes,59.31771
Unknowability,59.291756
Animus,59.24899
Standup,59.22428
Redelivery,59.215797
Rosular,59.203144
Enchannel,59.166313
Remould,59.15525
Declines,59.140446
Crossline,59.140434
Fantasias,59.130444
Auxographic,59.12449
Unintegrative,59.120266
Curarizes,59.10544
Limace,59.100906
Oxyamine,59.079277
Magnetosphere,59.057354
Paella,59.05557
Soffits,59.029247
Microgauss,59.02817
Theropoda,59.013905
Deificatory,58.99437
Alogism,58.98553
Supervisionary,58.978058
Consummates,58.920227
Whangdoodle,58.90705
Sugann,58.87179
Demulsion,58.86916
Ralstonite,58.866013
Abstain,58.841537
Decameronic,58.838406
Inique,58.835728
Papuan,58.83306
Microeutaxitic,58.802708
Aviatrice,58.76843
Affinity,58.750214
Diabetogenic,58.727497
Maintenances,58.721573
Fibrine,58.701866
Topographics,58.663013
Chough,58.65536
Precis,58.642097
Digitals,58.640656
Afrikaans,58.636833
Lissotrichy,58.623657
Maharajah,58.620735
Eccrinology,58.61992
Admiral,58.58532
Husbandship,58.57372
Disarmer,58.55107
Subinternal,58.54661
Yugoslavia,58.533066
Mishit,58.52881
Calvous,58.485374
Cymbaler,58.482307
Pashaship,58.48199
Jerque,58.480427
Overwoman,58.456398
Deaden,58.45186
Monoxime,58.4517
Facund,58.447422
Leatherboard,58.429607
Radishlike,58.428486
Achene,58.419262
Postulance,58.40105
Fitchew,58.40092
Zarnec,58.398827
Palaeocene,58.398724
Benzonitrile,58.39587
Unmonarchical,58.395008
Erotomania,58.379143
Anauxite,58.321766
Subpunch,58.314503
Yeomen,58.305202
Predeposit,58.284245
Bangtails,58.28394
Tenfold,58.279377
Lionisers,58.276073
Involutory,58.26925
Quiets,58.265175
Doings,58.255512
Bolsterwork,58.255062
Solidus,58.23375
Halteres,58.224915
Sarmenta,58.22326
Subtersurface,58.21633
Messianism,58.200916
Nonenunciatory,58.14905
Disloyalties,58.13103
Fidepromission,58.106567
Splashier,58.094616
Distain,58.091118
Bookwright,58.05808
Nonconsent,58.041355
Makutas,58.041237
Overwarms,58.02227
Concipiency,58.015083
Nondiagonal,58.002525
Topmost,58.000526
Horsebane,57.975754
Masuriums,57.964607
Pneumococcous,57.948734
Bisnagas,57.927757
Spadefish,57.922268
Lifeward,57.90712
Divertor,57.898884
Jacobinism,57.89124
Jetsam,57.882435
Duffels,57.876858
Skilts,57.859947
Diamondize,57.85988
Pterodactylus,57.84442
Scatophagidae,57.82726
Monodist,57.813828
Overhip,57.81369
Guttee,57.808502
Subversives,57.800827
Tolerators,57.764946
Blunnen,57.762463
Radiatoporous,57.754513
Viniferous,57.750847
Indicia,57.750652
Smallnesses,57.73625
Scaphion,57.709763
Gymnoglossa,57.707695
Temporalty,57.66854
Lipoblastoma,57.668102
Subcircular,57.66537
Selenite,57.65306
Kulturkampf,57.642033
Samucu,57.63068
Duodenum,57.630272
Jageer,57.584145
Snarlers,57.57435
Tropistic,57.563892
Spaghetti,57.562725
Upgrades,57.54565
Psychometry,57.545227
Detenus,57.53191
Unoecumenic,57.53137
Cyclamate,57.493755
Faradizer,57.484512
Horticulturist,57.47446
Ichthyosaurid,57.466774
Whitestone,57.457138
Cubanize,57.455692
Reposit,57.447704
Inability,57.439716
Keyster,57.434464
Underlease,57.430653
Disconsonancy,57.387157
Mothproof,57.362766
Predoctorate,57.34885
Columbines,57.347855
Ectoparasitic,57.34387
Clinocephalus,57.33238
Knobby,57.313538
Barony,57.311375
Ontologise,57.276848
Suprahyoid,57.255997
Zongora,57.236446
Badiaga,57.234055
Ampelidae,57.226364
Appointees,57.21038
Chelem,57.200367
Hairwood,57.18958
Whalemen,57.17644
Annellata,57.168777
Tackleless,57.1627
Abstrusity,57.119686
Foiler,57.11921
Shibahs,57.103863
Lidgate,57.098476
Potsies,57.09608
Larderful,57.09173
Lightplane,57.084045
Shandy,57.08115
Synapticulate,57.074432
Brassie,57.03719
Objector,57.034325
Overfit,57.033764
Heterotypic,57.02227
Subnotational,57.012012
Prelect,57.006687
Tigerlike,56.993984
Hypobaric,56.961403
Mesopelagic,56.95526
Griots,56.934605
Kabbala,56.924744
Blackboard,56.906445
Empathizes,56.87722
Unrestful,56.875523
Eleuin,56.859085
Podiatries,56.834892
Turnipwood,56.800003
Interenjoy,56.793667
Ceroline,56.776978
Phosphamic,56.770187
Sauceman,56.760403
Strainproof,56.757347
Pumice,56.656384
Paedometrical,56.65094
Noninjurious,56.628117
Strives,56.616684
Jackboot,56.61608
Tacheometric,56.609966
Hedgebreaker,56.59983
Innumerability,56.596535
Cornet,56.573196
Betain,56.561016
Fumier,56.52112
Tottlish,56.46987
Unpenitential,56.45481
Flajolotite,56.450092
Serfism,56.431362
Nonmorality,56.42685
Whippings,56.414124
Lignicolous,56.40951
Atheriogaea,56.40141
Barkstone,56.38313
Thicken,56.363132
Titres,56.358734
Pseudoform,56.35028
Outwall,56.330395
Submerse,56.306244
Chaconne,56.293484
Reoccur,56.28349
Goatsbeard,56.279316
Waiver,56.269108
Apteria,56.26029
Fructoses,56.24105
Kialkee,56.23545
Badger,56.231853
Annuitant,56.22996
Bodywise,56.229122
Calaboose,56.22614
Antiquary,56.216736
Yellowman,56.216095
Amnion,56.197613
Doornails,56.180645
Firebases,56.15482
Embolectomies,56.149025
Purkinje,56.136536
Sholom,56.12095
Synergic,56.113037
Metallize,56.06183
Oviparous,56.05999
Pantarchy,56.027534
Tachisms,56.026245
Hyaloplasm,56.01531
Econometrician,55.99847
Nitrator,55.9984
Organise,55.98342
Tidings,55.980434
Keraunophone,55.977776
Condemnatory,55.960567
Poultice,55.9302
Peritoneopexy,55.895195
Foreheads,55.889427
Instructors,55.840393
Amphiploid,55.83614
Omnivision,55.8297
Discontinuer,55.81823
Thymoma,55.801884
Anthography,55.79196
Choriocele,55.7909
Rudbeckia,55.768528
Penscript,55.75975
Troves,55.747757
Photoradio,55.717037
Rabble,55.697323
Chestnutty,55.687973
Cobleskill,55.6724
Photophysical,55.669964
Neolalia,55.66242
Gandhian,55.655895
Omnipotent,55.64185
Flandan,55.62492
Quantimeter,55.615658
Antipolitics,55.615242
Checkups,55.588326
Proteiform,55.57855
Natalian,55.555397
Cultivars,55.538467
Obovate,55.53481
Acetamidine,55.52917
Treponemiasis,55.516487
Neuropodium,55.500996
Inaudibility,55.496788
Wourari,55.4895
Psychorealist,55.487885
Puberal,55.464245
Sorbian,55.444107
Polarographic,55.417057
Unpoignant,55.354115
Tetrole,55.34302
Lacings,55.34042
Sabbathaic,55.33389
Tarcel,55.32763
Unsight,55.25232
Vizard,55.22276
Southbound,55.197964
Umpirages,55.188763
Lotuslike,55.18277
Overwrest,55.16382
Homeric,55.14895
Plateiasmus,55.13932
Apollonian,55.12761
Cachot,55.123077
Euaster,55.106503
Blenniiform,55.09299
Lepidophyte,55.066902
Australianize,55.02987
Welshlike,55.008873
Oxychloric,54.992725
Blennies,54.988667
Andvari,54.978764
Merwoman,54.97091
Burgages,54.966793
Salvors,54.950695
Peppershrike,54.950417
Midlatitude,54.944054
Cuboctahedron,54.913387
Connecters,54.90687
Garancine,54.905254
Dishwares,54.903404
Conoidic,54.898666
Parage,54.88957
Cyperaceous,54.88577
Tabulare,54.88266
Rosarians,54.876278
Tillman,54.87518
Jukebox,54.87415
Castra,54.84109
Scrubwoman,54.834873
Stippler,54.81893
Sarongs,54.807083
Declivity,54.796814
Heterosis,54.776546
Abnormalise,54.773117
Phosphatidic,54.773045
Lavatories,54.76303
Stereography,54.760544
Updive,54.76026
Dosimetrist,54.75377
Monoflagellate,54.72476
Cerolite,54.702263
Popeless,54.68897
Debaucheries,54.65636
Unmilitant,54.63946
Bajocco,54.635876
Sepoys,54.619007
Paracorolla,54.56198
Hubbub,54.555786
Crimpier,54.55505
Psephitic,54.553673
Thermogenesis,54.492466
